id,market,success,active,lastpricesupratio_7,lastpricesdiffperccumul,movingaveragecomp_lower_of_ma7_ma22_in_1h,movingaveragelatestdiffcumul_30m_ma7_last_7,movingaveragelatestdiffcumul_15m_ma7_last_7
747,AEBTC,0,0,0.83333333333333,0.5475,0.08,-0.244,-0.0493
748,ALGOBTC,0,0,0.83333333333333,0.7267,-1.09,2.0519,0.3072
749,ATOMBTC,0,0,1,0.6356,-0.71,-0.5098,-0.1564
750,ENJBTC,0,0,1,0.8576,-2.40,-0.6057,-0.2238
751,LUNBTC,1,0,0.83333333333333,0.871,-0.40,2.0396,1.1511
752,NANOBTC,0,0,1,0.6395,-0.41,-0.4146,-0.4291
753,NULSBTC,0,0,0.83333333333333,0.4399,0.40,-0.4325,-0.6479
754,STEEMBTC,0,0,1,0.6336,0.15,-0.11,-0.0127
755,STORJBTC,0,0,1,0.9574,-2.12,-0.3899,0.9825
756,STRATBTC,0,0,0.83333333333333,0.4839,-0.73,0.1731,0.5856
757,VETBTC,1,0,0.83333333333333,4.8527,-3.90,1.1931,2.3785
758,WRXBTC,1,0,0.83333333333333,0.8021,1.93,0.9935,-0.9346
759,ETHBTC,0,0,0.83333333333333,0.0332,-0.06,-0.0127,0.0865
760,HIVEBTC,0,0,0.83333333333333,0.9778,-1.17,2.3487,2.346
761,THETABTC,0,0,0.83333333333333,0.4639,0.46,-0.0118,-0.2166
762,BANDBTC,0,0,0.83333333333333,0.6283,-1.72,-0.6339,-1.6501
763,KNCBTC,1,0,0.83333333333333,2.3625,6.41,-2.8734,-1.7987
764,ASTBTC,1,0,0.83333333333333,1.6533,-13.81,1.3081,-4.0886
765,BATBTC,0,0,0.83333333333333,0.5408,-1.88,0.1286,-0.0052
766,LENDBTC,0,0,0.83333333333333,0.3086,-2.06,-0.8875,-0.238
767,BNTBTC,1,0,0.83333333333333,1.8044,4.16,-1.7874,-1.0816
768,ETCBTC,0,0,0.83333333333333,0.1919,-0.04,-0.0732,0.0867
769,ONTBTC,0,0,0.83333333333333,1.0388,-0.52,0.6197,0.6186
770,QTUMBTC,0,0,0.83333333333333,0.6159,-0.84,0.6364,0.3173
771,ADABTC,0,0,0.83333333333333,0.7342,-0.63,-0.5995,-0.9549
772,TOMOBTC,0,0,0.83333333333333,3.6224,-1.77,-1.8247,-0.1333
773,DATABTC,0,0,0.83333333333333,1.1139,0.02,-1.3195,-0.1866
774,IOTABTC,0,0,0.83333333333333,1.5217,-0.92,0.3372,0.9682
775,KMDBTC,1,0,0.83333333333333,0.8827,-0.01,-0.0648,0.2585
776,OMGBTC,0,0,0.83333333333333,0.1782,-1.99,-0.1379,0.5134
777,XMRBTC,0,0,0.83333333333333,0.5153,-0.11,-0.0124,0.0676
778,LTCBTC,0,0,0.83333333333333,0.0948,-0.45,0.4544,0.2517
779,PNTBTC,1,0,0.83333333333333,1.4227,0.51,-1.0254,0.0578
780,XTZBTC,0,0,0.83333333333333,0.6021,-0.47,0.2016,0.3981
781,ZRXBTC,0,0,0.83333333333333,1.1818,-0.28,-3.4231,-1.7491
782,BCDBTC,0,0,0.83333333333333,0.8867,-2.06,-0.8747,-1.1921
783,DASHBTC,0,0,0.83333333333333,0.1317,-0.38,0.2104,0.3801
784,LRCBTC,1,0,0.83333333333333,0.7546,-2.11,-3.4554,-1.2684
785,NEOBTC,0,0,0.83333333333333,0.1539,0.00,0.0524,0.0657
786,AIONBTC,0,0,1,1.7283,-0.79,-1.2219,-0.0133
787,ELFBTC,0,0,0.83333333333333,1.301,-0.30,-0.0447,0.6202
788,ONGBTC,0,0,0.83333333333333,2.3094,-8.97,-2.4709,-0.1268
789,SOLBTC,0,0,0.83333333333333,0.8859,-2.02,-1.9368,-0.4113
790,ZENBTC,0,0,0.83333333333333,1.2045,-0.43,-0.4965,-0.1158
791,BTGBTC,1,0,0.83333333333333,0.3771,-0.21,-0.00019999999999998,0.1512
792,COMPBTC,1,0,0.83333333333333,5.8909,-0.48,6.3728,2.8443
793,WTCBTC,0,0,0.83333333333333,0.9045,-0.45,0.1151,0.5374
794,NXSBTC,0,0,1,1.3414,-1.28,1.9282,0.7309
795,PPTBTC,0,0,0.83333333333333,0.6405,-1.04,0.0959,0.3793
796,DCRBTC,0,0,0.83333333333333,0.9429,-0.20,-0.2991,0.3735
797,LSKBTC,0,0,0.83333333333333,0.1592,-0.55,-0.1835,0.2178
798,RLCBTC,1,0,0.83333333333333,0.8718,-2.47,0.2812,-0.2346
799,POWRBTC,0,0,0.83333333333333,0.7359,-0.18,0.0892,0.345
800,GVTBTC,1,0,1,5.0788,-1.29,2.353,2.9167
801,REPBTC,1,0,0.83333333333333,-0.0172,-1.70,-3.2204,-3.0861
802,KAVABTC,0,0,0.83333333333333,1.5975,1.38,-3.1421,-1.7706
803,ZILBTC,0,0,0.83333333333333,2.8349,-4.93,6.324,2.6691
804,ARKBTC,0,0,0.83333333333333,0.4543,-1.24,0.7215,0.7305
805,CTXCBTC,1,0,0.83333333333333,0.6877,-0.17,0.2593,0.284
806,ICXBTC,0,0,0.83333333333333,0.5578,1.55,-0.9782,-1.0656
807,RENBTC,0,0,1,3.0382,-0.17,-2.8127,0.5272
808,XRPBTC,0,0,0.83333333333333,0.2556,-0.21,-0.022,-0.1824
809,BNBBTC,0,0,0.83333333333333,0.0146,-0.18,-0.1163,-0.1045
810,HBARBTC,0,0,0.83333333333333,1.5755,-1.46,-0.3858,-1.1226
811,WANBTC,0,0,0.83333333333333,1.4024,0.78,-0.0821,0.3267
812,ARNBTC,0,0,0.83333333333333,1.0969,0.35,-0.6479,-0.1497
813,ZECBTC,0,0,0.83333333333333,0.1345,0.35,-0.3944,-0.2294
814,EOSBTC,0,0,0.83333333333333,0.174,-0.17,-0.3536,-0.3384
815,LINKBTC,0,0,0.83333333333333,0.2852,-0.04,0.3253,-0.1839
816,BQXBTC,0,0,0.83333333333333,1.2767,-0.23,-0.1317,0.2869
817,VIBEBTC,0,0,0.83333333333333,3.1252,-0.67,1.0001,0.9056
818,SKYBTC,0,0,0.83333333333333,0.2407,0.40,0.0556,0.3445
819,BCHBTC,0,0,0.83333333333333,0.6899,-0.01,-0.195,0.195
820,WAVESBTC,0,0,0.83333333333333,0.2431,0.34,0.0116,-0.0232
821,HCBTC,0,0,1,0.8859,-0.18,0.0351,-0.6126
822,WABIBTC,0,0,0.83333333333333,1.4506,0.44,0.6153,0.8489
823,RVNBTC,0,0,0.83333333333333,2.4273,-0.52,0.5634,1.2677
824,OAXBTC,1,0,0.83333333333333,1.6427,6.67,-0.597,-0.7492
825,ATOMBTC,0,0,0.83333333333333,0.4566,0.10,-0.4985,-0.2572
826,BEAMBTC,0,0,0.83333333333333,0.6269,0.06,-0.7186,-0.6187
827,POLYBTC,1,0,0.83333333333333,2.0765,-0.58,0.4619,-0.0994
828,NANOBTC,1,0,0.83333333333333,0.0869,0.07,-0.014,-0.6369
829,STORJBTC,1,0,0.83333333333333,0.9479,-1.65,0.4397,0.1988
830,ETHBTC,0,0,0.83333333333333,0.0967,-0.22,0.4354,0.4074
831,LUNBTC,0,0,0.83333333333333,0.9543,-2.41,-1.0748,-0.9833
832,NAVBTC,0,0,0.83333333333333,0.2279,2.40,-0.635,-0.0439
833,ONTBTC,0,0,0.83333333333333,0.5721,-1.29,0.8395,-0.4307
834,GRSBTC,0,0,0.83333333333333,0.932,0.60,-0.2804,-0.2389
835,QTUMBTC,0,0,0.83333333333333,0.1624,-0.69,-0.1315,0.1471
836,XZCBTC,0,0,0.83333333333333,0.1273,0.44,-0.3393,0.1712
837,ADABTC,0,0,0.83333333333333,0.5543,0.34,-0.8185,0.0656
838,IOTABTC,0,0,0.83333333333333,0.5709,-2.30,1.1281,0.0648
839,TOMOBTC,1,0,0.83333333333333,0.6588,0.85,-1.8048,0.1049
840,XMRBTC,0,0,0.83333333333333,0.1771,-0.67,0.3455,0.0507
841,GASBTC,0,0,0.83333333333333,0.5247,0.36,-0.5092,-0.3153
842,KMDBTC,0,0,0.83333333333333,0.6291,-1.50,1.0298,0.5856
843,VIABTC,0,0,0.83333333333333,0.7569,0.21,0.2995,0.8039
844,ALGOBTC,0,0,0.83333333333333,0.9306,-1.69,1.1341,0.6742
845,BCDBTC,0,0,0.83333333333333,0.6729,0.30,-0.572,0.3118
846,THETABTC,0,0,0.83333333333333,0.7822,-0.71,1.0164,1.0603
847,BNTBTC,1,0,0.83333333333333,1.3394,0.67,5.8053,2.0796
848,OGNBTC,0,0,0.83333333333333,3.9918,-2.15,1.9884,0.1503
849,PNTBTC,0,0,0.83333333333333,1.004,-0.66,0.8049,-0.081
850,KAVABTC,0,0,1,0.7253,1.86,-0.3882,0.3598
851,REPBTC,0,0,0.83333333333333,0.9364,0.99,1.0151,0.0686
852,ASTBTC,0,0,0.83333333333333,1.0676,-3.76,-1.7543,-0.1909
853,COMPBTC,1,0,1,1.014,-3.87,-1.8498,1.509
854,ONGBTC,1,0,0.83333333333333,0.9452,1.68,-3.4466,-1.8883
855,BTGBTC,0,0,0.83333333333333,0.0645,-1.38,0.962,-0.0306
856,ICXBTC,0,0,0.83333333333333,0.3559,0.39,0.1331,0.5107
857,ZENBTC,0,0,0.83333333333333,0.6358,-0.24,-0.2276,-0.0234
858,LRCBTC,1,0,0.83333333333333,1.4394,-3.61,-3.1828,-2.0397
859,SOLBTC,0,0,0.83333333333333,0.8184,0.90,-0.3221,-0.3391
860,DCRBTC,0,0,0.83333333333333,0.6022,0.01,-0.1027,0.093
861,ETCBTC,0,0,1,0.1154,0.20,-0.1991,0.0939
862,KNCBTC,1,0,0.83333333333333,1.241,0.52,-1.3148,-1.3589
863,OMGBTC,0,0,0.83333333333333,0.3614,0.70,-0.515,-0.3267
864,RLCBTC,0,0,0.83333333333333,3.2212,-2.24,-1.0382,-0.3533
865,LINKBTC,0,0,0.83333333333333,0.4215,-0.31,-0.2417,-0.2079
866,NEOBTC,0,0,0.83333333333333,0.2751,-0.07,-9.9999999999992E-5,0.21
867,DOCKBTC,1,0,0.83333333333333,5.1957,-7.64,9.4545,7.0347
868,AIONBTC,0,0,0.83333333333333,0.5496,0.62,0.2232,0.6576
869,BANDBTC,1,0,0.83333333333333,0.8935,0.08,0.159,0.4987
870,STRATBTC,0,0,0.83333333333333,0.4266,0.23,-0.3255,0.1861
871,PPTBTC,1,0,0.83333333333333,0.8019,-0.89,0.6546,0.3406
872,BLZBTC,1,0,0.83333333333333,1.7085,0.42,1.2121,1.954
873,ENJBTC,1,0,0.83333333333333,0.9476,-0.22,0.0279,0.5513
874,AEBTC,0,0,0.83333333333333,0.5506,0.43,-0.1969,0.1571
875,LENDBTC,0,0,0.83333333333333,0.9806,-0.23,1.1418,-0.402
876,STEEMBTC,0,0,0.83333333333333,0.3631,0.32,0.3447,0.0713
877,DASHBTC,0,0,0.83333333333333,0.0727,-0.01,-0.029,0.1487
878,EOSBTC,0,0,0.83333333333333,0.1889,0.38,-0.0213,0.175
879,ETHBTC,0,0,0.83333333333333,0.1661,-0.41,0.0608,0.1001
880,BNBBTC,0,0,0.83333333333333,0.2029,-0.33,0.1719,0.1568
881,NULSBTC,1,0,0.83333333333333,1.0149,-0.16,0.2566,0.2884
882,RENBTC,0,0,1,2.4444,2.88,-1.0309,-2.0459
883,TOMOBTC,0,0,0.83333333333333,1.2358,-0.27,3.2485,2.3961
884,KMDBTC,0,0,0.83333333333333,0.8007,-1.05,-0.3145,0.4611
885,VETBTC,1,0,0.83333333333333,5.1754,-4.65,-2.2222,-0.1147
886,BCHBTC,0,0,0.83333333333333,0.0655,-0.30,-0.2116,-0.1485
887,ELFBTC,0,0,0.83333333333333,0.9799,-0.54,1.513,1.6904
888,GVTBTC,0,0,1,1.9913,-1.43,0.5116,0.5651
889,GXSBTC,0,0,0.83333333333333,0.6292,-0.53,0.5432,0.2968
890,LTCBTC,0,0,0.83333333333333,0.1231,-0.15,-0.1803,-0.2612
891,CHRBTC,0,0,0.83333333333333,2.1058,-0.42,1.0047,1.3093
892,ALGOBTC,0,0,0.83333333333333,0.3797,-1.27,-0.3856,-0.115
893,LTOBTC,0,0,0.83333333333333,1.6107,-1.18,-1.1487,-0.1796
894,KAVABTC,0,0,0.83333333333333,0.2724,0.05,0.0366,0.2916
895,ATOMBTC,0,0,0.83333333333333,0.9321,-1.24,1.1386,1.9913
896,QTUMBTC,0,0,0.83333333333333,0.1954,-0.12,-0.4406,-0.1007
897,OGNBTC,0,0,0.83333333333333,1.8638,-0.89,-2.099,0.235
898,REPBTC,0,0,0.83333333333333,1.032,1.35,-0.9769,-0.9745
899,STORJBTC,0,0,0.83333333333333,0.7026,-2.75,-1.017,-0.9432
900,ICXBTC,1,0,1,1.4599,-0.83,0.2097,0.8825
901,NANOBTC,0,0,0.83333333333333,1.4695,-0.23,-1.1271,-0.2904
902,ONTBTC,0,0,0.83333333333333,1.9566,0.23,-0.2063,0.4578
903,FTTBTC,0,0,0.83333333333333,0.0538,-0.06,-0.0949,0.0226
904,SOLBTC,0,0,0.83333333333333,1.3901,7.02,-2.9231,0.5775
905,XRPBTC,0,0,0.83333333333333,0.6183,0.37,-0.7124,0.0888
906,COMPBTC,0,0,0.83333333333333,6.7352,-3.11,5.4427,3.9237
907,ETCBTC,0,0,0.83333333333333,0.5674,0.15,-0.2064,-0.0505
908,XMRBTC,0,0,0.83333333333333,0.4516,-0.38,0.8061,0.3545
909,ZECBTC,0,0,0.83333333333333,0.3773,0.11,-0.4197,-0.28
910,LRCBTC,1,0,0.83333333333333,4.9044,-3.71,2.5178,3.0173
911,BATBTC,0,0,0.83333333333333,0.5891,1.07,-0.1642,0.6344
912,BNTBTC,1,0,0.83333333333333,0.1661,-0.40,-3.5294,-1.7174
913,BQXBTC,1,0,0.83333333333333,2.2463,-1.62,2.0086,1.7409
914,KNCBTC,0,0,0.83333333333333,0.8642,-1.23,1.2341,-0.5243
915,OMGBTC,0,0,0.83333333333333,0.4643,0.97,-0.5469,-0.6523
916,ONGBTC,1,0,1,0.9746,2.99,-4.458,-1.3448
917,WRXBTC,1,0,0.83333333333333,0.8056,0.29,-1.1237,-1.3701
918,EOSBTC,0,0,0.83333333333333,0.2675,0.26,-0.0585,0.2497
919,ASTBTC,1,0,0.83333333333333,2.1674,-2.62,9.1791,3.4737
920,BTGBTC,0,0,0.83333333333333,1.2127,1.59,0.72,0.5805
921,MDABTC,0,0,0.83333333333333,0.5872,-0.21,0.4932,-0.1372
922,FETBTC,0,0,0.83333333333333,1.529,0.40,-0.5682,0.1321
923,ETHBTC,0,0,0.83333333333333,0.0492,0.01,-0.0212,0.1411
924,RLCBTC,0,0,0.83333333333333,0.9016,1.04,-1.9466,-0.4221
925,GASBTC,0,0,0.83333333333333,0.5581,0.33,-0.271,-0.1281
